年	月	管区	都道府県	発生件数（速報値）	死者数（確定値）	負傷者数（速報値）
2021	7	近畿	計	4444	42	5194
2021	7	中国	鳥取	43	1	50
2021	7	中国	島根	58	1	60
2021	7	中国	岡山	375	1	429
2021	7	中国	広島	357	3	407
2021	7	中国	山口	185	1	225
2021	7	中国	計	1018	7	1171
2021	7	四国	徳島	193	4	217
2021	7	四国	香川	275	5	338
2021	7	四国	愛媛	185	7	194
2021	7	四国	高知	83	2	87
2021	7	四国	計	736	18	836
2021	7	九州	福岡	1648	12	2063
2021	7	九州	佐賀	293	0	392
2021	7	九州	長崎	203	1	253
2021	7	九州	熊本	263	3	311
2021	7	九州	大分	178	2	223
2021	7	九州	宮崎	332	0	373
2021	7	九州	鹿児島	269	4	289
2021	7	九州	沖縄	192	2	234
2021	7	九州	計	3378	24	4138
2021	7	合計	計	24867	230	29512
2021	6	北海道	札幌	446	7	491
2021	6	北海道	函館	36	3	41
2021	6	北海道	旭川	39	2	43
2021	6	北海道	釧路	48	1	57
2021	6	北海道	北見	18	0	19
2021	6	北海道	計	587	13	651
2021	6	東北	青森	200	3	230
2021	6	東北	岩手	132	3	153
2021	6	東北	宮城	304	3	367
2021	6	東北	秋田	85	4	95
2021	6	東北	山形	262	0	307
2021	6	東北	福島	219	3	253
2021	6	東北	計	1202	16	1405
2021	6	東京	計	2255	6	2502
2021	6	関東	茨城	445	10	523
2021	6	関東	栃木	335	1	403
2021	6	関東	群馬	800	8	937
2021	6	関東	埼玉	1399	10	1655
2021	6	関東	千葉	1075	9	1267
2021	6	関東	神奈川	1791	7	2024
2021	6	関東	新潟	225	6	255
2021	6	関東	山梨	166	0	206
2021	6	関東	長野	396	7	474
2021	6	関東	静岡	1590	4	1989
2021	6	関東	計	8222	62	9733
2021	6	中部	富山	152	3	175
2021	6	中部	石川	132	0	143
2021	6	中部	福井	86	3	96
2021	6	中部	岐阜	245	3	313
2021	6	中部	愛知	1875	11	2188
2021	6	中部	三重	224	5	272
2021	6	中部	計	2714	25	3187
2021	6	近畿	滋賀	228	3	282
2021	6	近畿	京都	281	4	314
2021	6	近畿	大阪	2011	12	2291
2021	6	近畿	兵庫	1403	7	1634
2021	6	近畿	奈良	273	3	330
2021	6	近畿	和歌山	108	1	129
2021	6	近畿	計	4304	30	4980
2021	6	中国	鳥取	53	1	58
2021	6	中国	島根	51	1	54
2021	6	中国	岡山	372	5	405
2021	6	中国	広島	385	8	445
2021	6	中国	山口	191	3	211
2021	6	中国	計	1052	18	1173
2021	6	四国	徳島	161	1	184
2021	6	四国	香川	239	1	289
2021	6	四国	愛媛	191	5	204
2021	6	四国	高知	63	1	68
2021	6	四国	計	654	8	745
2021	6	九州	福岡	1575	10	2001
2021	6	九州	佐賀	267	0	335
2021	6	九州	長崎	221	2	274
2021	6	九州	熊本	276	4	327
2021	6	九州	大分	192	3	239
2021	6	九州	宮崎	379	0	435
2021	6	九州	鹿児島	261	1	290
2021	6	九州	沖縄	208	4	250
2021	6	九州	計	3379	24	4151
2021	6	合計	計	24369	202	28527
2021	5	北海道	札幌	336	5	387
2021	5	北海道	函館	43	1	52
2021	5	北海道	旭川	31	0	36
2021	5	北海道	釧路	55	1	65
2021	5	北海道	北見	12	0	16
2021	5	北海道	計	477	7	556
2021	5	東北	青森	161	5	191
2021	5	東北	岩手	107	0	132
2021	5	東北	宮城	283	2	326
2021	5	東北	秋田	82	1	91
2021	5	東北	山形	211	4	238
2021	5	東北	福島	238	4	276
2021	5	東北	計	1082	16	1254
2021	5	東京	計	1989	7	2214
2021	5	関東	茨城	449	5	536
2021	5	関東	栃木	301	10	357
2021	5	関東	群馬	783	2	957
2021	5	関東	埼玉	1329	10	1536
2021	5	関東	千葉	1003	6	1217
2021	5	関東	神奈川	1643	7	1910
2021	5	関東	新潟	214	5	249
2021	5	関東	山梨	144	3	169
2021	5	関東	長野	340	3	407
2021	5	関東	静岡	1513	6	1942
2021	5	関東	計	7719	57	9280
2021	5	中部	富山	165	4	180
2021	5	中部	石川	131	1	155
2021	5	中部	福井	71	0	86
2021	5	中部	岐阜	191	7	243
2021	5	中部	愛知	1748	11	2114
2021	5	中部	三重	204	3	253
2021	5	中部	計	2510	26	3031
2021	5	近畿	滋賀	193	5	250
2021	5	近畿	京都	269	3	307
2021	5	近畿	大阪	1779	10	2080
2021	5	近畿	兵庫	1211	5	1445
2021	5	近畿	奈良	215	1	257
2021	5	近畿	和歌山	90	1	102
2021	5	近畿	計	3757	25	4441
2021	5	中国	鳥取	48	3	53
2021	5	中国	島根	59	0	70
2021	5	中国	岡山	330	3	362
2021	5	中国	広島	367	5	429
2021	5	中国	山口	169	2	207
2021	5	中国	計	973	13	1121
2021	5	四国	徳島	141	4	163
2021	5	四国	香川	264	5	307
2021	5	四国	愛媛	153	1	170
2021	5	四国	高知	70	0	82
2021	5	四国	計	628	10	722
2021	5	九州	福岡	1488	5	1882
2021	5	九州	佐賀	255	3	297
2021	5	九州	長崎	221	2	257
2021	5	九州	熊本	232	3	284
2021	5	九州	大分	163	1	195
2021	5	九州	宮崎	336	2	392
2021	5	九州	鹿児島	299	6	337
2021	5	九州	沖縄	244	0	300
2021	5	九州	計	3238	22	3944
2021	5	合計	計	22373	183	26563
2021	4	北海道	札幌	449	1	515
2021	4	北海道	函館	46	1	57
2021	4	北海道	旭川	55	3	61
2021	4	北海道	釧路	51	2	54
2021	4	北海道	北見	17	1	21
2021	4	北海道	計	618	8	708
2021	4	東北	青森	173	1	208
2021	4	東北	岩手	109	2	128
2021	4	東北	宮城	287	3	337
2021	4	東北	秋田	85	3	93
2021	4	東北	山形	219	5	252
2021	4	東北	福島	227	1	258
2021	4	東北	計	1100	15	1276
2021	4	東京	計	2294	9	2551
2021	4	関東	茨城	469	4	585
2021	4	関東	栃木	289	1	340
2021	4	関東	群馬	806	5	971
2021	4	関東	埼玉	1298	8	1570
2021	4	関東	千葉	1148	11	1357
2021	4	関東	神奈川	1921	9	2237
2021	4	関東	新潟	215	6	248
2021	4	関東	山梨	173	5	201
2021	4	関東	長野	389	2	459
2021	4	関東	静岡	1607	4	1997
2021	4	関東	計	8315	55	9965
2021	4	中部	富山	151	2	189
2021	4	中部	石川	160	3	187
2021	4	中部	福井	74	3	76
2021	4	中部	岐阜	193	3	235
2021	4	中部	愛知	2034	8	2410
2021	4	中部	三重	254	4	329
2021	4	中部	計	2866	23	3426
2021	4	近畿	滋賀	230	2	290
2021	4	近畿	京都	356	5	408
2021	4	近畿	大阪	2119	14	2432
2021	4	近畿	兵庫	1481	11	1761
2021	4	近畿	奈良	239	2	302
2021	4	近畿	和歌山	111	4	119
2021	4	近畿	計	4536	38	5312
2021	4	中国	鳥取	57	1	67
2021	4	中国	島根	59	2	61
2021	4	中国	岡山	407	6	463
2021	4	中国	広島	329	3	397
2021	4	中国	山口	189	2	225
2021	4	中国	計	1041	14	1213
2021	4	四国	徳島	181	1	230
2021	4	四国	香川	277	5	336
2021	4	四国	愛媛	184	6	200
2021	4	四国	高知	83	2	91
2021	4	四国	計	725	14	857
2021	4	九州	福岡	1727	7	2110
2021	4	九州	佐賀	270	1	360
2021	4	九州	長崎	229	2	293
2021	4	九州	熊本	246	2	319
2021	4	九州	大分	195	6	244
2021	4	九州	宮崎	376	2	415
2021	4	九州	鹿児島	307	2	346
2021	4	九州	沖縄	229	0	267
2021	4	九州	計	3579	22	4354
2021	4	合計	計	25074	198	29662
2021	3	北海道	札幌	551	2	669
2021	3	北海道	函館	46	1	57
2021	3	北海道	旭川	74	1	91
2021	3	北海道	釧路	56	2	63
2021	3	北海道	北見	23	2	27
2021	3	北海道	計	750	8	907
2021	3	東北	青森	184	1	223
2021	3	東北	岩手	100	3	113
2021	3	東北	宮城	388	2	471
2021	3	東北	秋田	118	4	135
2021	3	東北	山形	228	1	272
2021	3	東北	福島	265	6	314
2021	3	東北	計	1283	17	1528
2021	3	東京	計	2387	13	2628
2021	3	関東	茨城	537	7	658
2021	3	関東	栃木	319	7	395
2021	3	関東	群馬	867	3	1071
2021	3	関東	埼玉	1397	9	1668
2021	3	関東	千葉	1150	9	1361
2021	3	関東	神奈川	1805	11	2062
2021	3	関東	新潟	229	2	257
2021	3	関東	山梨	192	0	246
2021	3	関東	長野	390	4	473
2021	3	関東	静岡	1695	11	2198
2021	3	関東	計	8581	63	10389
2021	3	中部	富山	138	3	163
2021	3	中部	石川	188	2	222
2021	3	中部	福井	61	3	63
2021	3	中部	岐阜	272	7	339
2021	3	中部	愛知	2125	4	2499
2021	3	中部	三重	275	7	340
2021	3	中部	計	3059	26	3626
2021	3	近畿	滋賀	286	4	354
2021	3	近畿	京都	340	4	375
2021	3	近畿	大阪	2229	14	2643
2021	3	近畿	兵庫	1436	10	1708
2021	3	近畿	奈良	291	1	347
2021	3	近畿	和歌山	124	0	151
2021	3	近畿	計	4706	33	5578
2021	3	中国	鳥取	51	0	58
2021	3	中国	島根	66	0	76
2021	3	中国	岡山	433	5	489
2021	3	中国	広島	418	7	481
2021	3	中国	山口	228	1	271
2021	3	中国	計	1196	13	1375
2021	3	四国	徳島	190	3	226
2021	3	四国	香川	317	2	386
2021	3	四国	愛媛	209	1	233
2021	3	四国	高知	99	3	122
2021	3	四国	計	815	9	967
2021	3	九州	福岡	1682	6	2176
2021	3	九州	佐賀	313	4	395
2021	3	九州	長崎	275	3	346
2021	3	九州	熊本	275	5	345
2021	3	九州	大分	210	1	254
2021	3	九州	宮崎	446	1	503
2021	3	九州	鹿児島	308	5	340
2021	3	九州	沖縄	237	3	271
2021	3	九州	計	3746	28	4630
2021	3	合計	計	26523	210	31628
2021	2	北海道	札幌	487	6	568
2021	2	北海道	函館	55	1	67
2021	2	北海道	旭川	87	0	110
2021	2	北海道	釧路	62	1	69
2021	2	北海道	北見	15	0	18
2021	2	北海道	計	706	8	832
2021	2	東北	青森	212	0	252
2021	2	東北	岩手	133	2	152
2021	2	東北	宮城	370	5	433
2021	2	東北	秋田	118	3	144
2021	2	東北	山形	336	3	384
2021	2	東北	福島	262	4	293
2021	2	東北	計	1431	17	1658
2021	2	東京	計	2117	12	2339
2021	2	関東	茨城	450	0	547
2021	2	関東	栃木	278	7	313
2021	2	関東	群馬	766	2	958
2021	2	関東	埼玉	1258	12	1485
2021	2	関東	千葉	1004	15	1159
2021	2	関東	神奈川	1685	7	1920
2021	2	関東	新潟	215	0	237
2021	2	関東	山梨	184	3	228
2021	2	関東	長野	356	1	408
2021	2	関東	静岡	1479	9	1863
2021	2	関東	計	7675	56	9118
2021	2	中部	富山	167	1	187
2021	2	中部	石川	148	2	171
2021	2	中部	福井	72	1	78
2021	2	中部	岐阜	287	6	365
2021	2	中部	愛知	1837	10	2136
2021	2	中部	三重	188	4	215
2021	2	中部	計	2699	24	3152
2021	2	近畿	滋賀	218	3	249
2021	2	近畿	京都	311	2	362
2021	2	近畿	大阪	1830	8	2108
2021	2	近畿	兵庫	1209	7	1404
2021	2	近畿	奈良	218	1	276
2021	2	近畿	和歌山	111	3	121
2021	2	近畿	計	3897	24	4520
2021	2	中国	鳥取	59	4	58
2021	2	中国	島根	67	0	81
2021	2	中国	岡山	377	1	417
2021	2	中国	広島	328	11	388
2021	2	中国	山口	227	7	270
2021	2	中国	計	1058	23	1214
2021	2	四国	徳島	143	3	172
2021	2	四国	香川	233	2	281
2021	2	四国	愛媛	168	3	178
2021	2	四国	高知	98	4	101
2021	2	四国	計	642	12	732
2021	2	九州	福岡	1563	4	1980
2021	2	九州	佐賀	266	0	328
2021	2	九州	長崎	205	4	262
2021	2	九州	熊本	226	3	271
2021	2	九州	大分	189	6	212
2021	2	九州	宮崎	338	3	369
2021	2	九州	鹿児島	286	5	310
2021	2	九州	沖縄	227	6	263
2021	2	九州	計	3300	31	3995
2021	2	合計	計	23525	207	27560
2021	1	北海道	札幌	509	4	587
2021	1	北海道	函館	50	2	53
2021	1	北海道	旭川	71	0	89
2021	1	北海道	釧路	75	2	82
2021	1	北海道	北見	16	0	18
2021	1	北海道	計	721	8	829
2021	1	東北	青森	215	2	259
2021	1	東北	岩手	153	0	192
2021	1	東北	宮城	360	4	443
2021	1	東北	秋田	135	2	167
2021	1	東北	山形	335	1	393
2021	1	東北	福島	245	2	277
2021	1	東北	計	1443	11	1731
2021	1	東京	計	1960	10	2169
2021	1	関東	茨城	527	7	650
2021	1	関東	栃木	288	3	349
2021	1	関東	群馬	764	10	913
2021	1	関東	埼玉	1248	12	1440
2021	1	関東	千葉	1086	9	1306
2021	1	関東	神奈川	1714	11	1952
2021	1	関東	新潟	261	4	287
2021	1	関東	山梨	135	3	157
2021	1	関東	長野	340	1	411
2021	1	関東	静岡	1557	6	1915
2021	1	関東	計	7920	66	9380
2021	1	中部	富山	153	2	171
2021	1	中部	石川	126	0	142
2021	1	中部	福井	77	0	93
2021	1	中部	岐阜	235	3	292
2021	1	中部	愛知	1959	7	2306
2021	1	中部	三重	229	2	289
2021	1	中部	計	2779	14	3293
2021	1	近畿	滋賀	212	3	251
2021	1	近畿	京都	329	6	367
2021	1	近畿	大阪	1872	13	2155
2021	1	近畿	兵庫	1362	9	1587
2021	1	近畿	奈良	212	2	258
2021	1	近畿	和歌山	114	4	129
2021	1	近畿	計	4101	37	4747
2021	1	中国	鳥取	40	0	48
2021	1	中国	島根	58	1	64
2021	1	中国	岡山	358	6	384
2021	1	中国	広島	332	3	398
2021	1	中国	山口	198	3	245
2021	1	中国	計	986	13	1139
2021	1	四国	徳島	159	2	179
2021	1	四国	香川	262	3	313
2021	1	四国	愛媛	172	3	192
2021	1	四国	高知	103	7	105
2021	1	四国	計	696	15	789
2021	1	九州	福岡	1602	6	1974
2021	1	九州	佐賀	313	6	404
2021	1	九州	長崎	221	2	279
2021	1	九州	熊本	251	3	292
2021	1	九州	大分	116	1	130
2021	1	九州	宮崎	282	1	324
2021	1	九州	鹿児島	321	3	361
2021	1	九州	沖縄	184	2	232
2021	1	九州	計	3290	24	3996
2021	1	合計	計	23896	198	28073
2020	12	北海道	札幌	577	11	666
2020	12	北海道	函館	60	3	67
2020	12	北海道	旭川	68	0	83
2020	12	北海道	釧路	77	2	84
2020	12	北海道	北見	29	2	34
2020	12	北海道	計	811	18	934
2020	12	東北	青森	272	3	316
2020	12	東北	岩手	145	2	180
2020	12	東北	宮城	457	6	569
2020	12	東北	秋田	158	5	194
2020	12	東北	山形	383	3	446
2020	12	東北	福島	303	9	353
2020	12	東北	計	1718	28	2058
2020	12	東京	計	2673	22	3058
2020	12	関東	茨城	553	11	678
2020	12	関東	栃木	396	8	474
2020	12	関東	群馬	998	8	1221
2020	12	関東	埼玉	1948	18	2298
2020	12	関東	千葉	1289	11	1575
2020	12	関東	神奈川	2207	15	2582
2020	12	関東	新潟	321	5	375
2020	12	関東	山梨	240	4	279
2020	12	関東	長野	509	4	606
2020	12	関東	静岡	1902	5	2425
2020	12	関東	計	10363	89	12513
2020	12	中部	富山	239	0	265
2020	12	中部	石川	219	2	249
2020	12	中部	福井	76	5	80
2020	12	中部	岐阜	375	6	488
2020	12	中部	愛知	2387	13	2795
2020	12	中部	三重	256	4	293
2020	12	中部	計	3552	30	4170
2020	12	近畿	滋賀	275	6	320
2020	12	近畿	京都	417	5	470
2020	12	近畿	大阪	2532	14	2989
2020	12	近畿	兵庫	1683	18	2009
2020	12	近畿	奈良	284	2	343
2020	12	近畿	和歌山	159	0	169
2020	12	近畿	計	5350	45	6300
2020	12	中国	鳥取	64	1	78
2020	12	中国	島根	78	1	88
2020	12	中国	岡山	438	6	507
2020	12	中国	広島	543	8	645
2020	12	中国	山口	239	5	283
2020	12	中国	計	1362	21	1601
2020	12	四国	徳島	239	1	280
2020	12	四国	香川	328	5	392
2020	12	四国	愛媛	232	5	250
2020	12	四国	高知	116	3	127
2020	12	四国	計	915	14	1049
2020	12	九州	福岡	2273	8	3102
2020	12	九州	佐賀	363	3	468
2020	12	九州	長崎	326	2	393
2020	12	九州	熊本	307	4	388
2020	12	九州	大分	296	2	374
2020	12	九州	宮崎	547	4	615
2020	12	九州	鹿児島	353	5	405
2020	12	九州	沖縄	342	3	458
2020	12	九州	計	4807	31	6203
2020	12	合計	計	31551	298	37886
2020	11	北海道	札幌	523	3	584
2020	11	北海道	函館	46	2	56
2020	11	北海道	旭川	75	2	92
2020	11	北海道	釧路	63	3	66
2020	11	北海道	北見	26	1	28
2020	11	北海道	計	733	11	826
2020	11	東北	青森	241	1	297
2020	11	東北	岩手	176	5	207
2020	11	東北	宮城	407	3	490
2020	11	東北	秋田	118	1	143
2020	11	東北	山形	293	3	347
2020	11	東北	福島	278	4	325
2020	11	東北	計	1513	17	1809
2020	11	東京	計	2452	21	2745
2020	11	関東	茨城	517	12	628
2020	11	関東	栃木	342	7	411
2020	11	関東	群馬	897	5	1109
2020	11	関東	埼玉	1584	14	1867
2020	11	関東	千葉	1242	11	1487
2020	11	関東	神奈川	1958	12	2219
2020	11	関東	新潟	283	4	320
2020	11	関東	山梨	210	2	261
2020	11	関東	長野	468	5	571
2020	11	関東	静岡	1859	12	2353
2020	11	関東	計	9360	84	11226
2020	11	中部	富山	187	2	216
2020	11	中部	石川	176	2	194
2020	11	中部	福井	69	5	75
2020	11	中部	岐阜	253	1	320
2020	11	中部	愛知	2310	14	2714
2020	11	中部	三重	286	4	358
2020	11	中部	計	3281	28	3877
2020	11	近畿	滋賀	312	6	373
2020	11	近畿	京都	356	3	403
2020	11	近畿	大阪	2189	12	2523
2020	11	近畿	兵庫	1639	12	1915
2020	11	近畿	奈良	249	2	310
2020	11	近畿	和歌山	144	2	177
2020	11	近畿	計	4889	37	5701
2020	11	中国	鳥取	49	3	56
2020	11	中国	島根	66	5	75
2020	11	中国	岡山	433	2	501
2020	11	中国	広島	420	9	489
2020	11	中国	山口	221	6	256
2020	11	中国	計	1189	25	1377
2020	11	四国	徳島	209	3	232
2020	11	四国	香川	338	5	399
2020	11	四国	愛媛	240	8	263
2020	11	四国	高知	114	2	131
2020	11	四国	計	901	18	1025
2020	11	九州	福岡	1933	11	2445
2020	11	九州	佐賀	337	2	441
2020	11	九州	長崎	260	1	330
2020	11	九州	熊本	295	4	379
2020	11	九州	大分	259	6	310
2020	11	九州	宮崎	452	4	510
2020	11	九州	鹿児島	386	8	439
2020	11	九州	沖縄	281	3	330
2020	11	九州	計	4203	39	5184
2020	11	合計	計	28521	280	33770
2020	10	北海道	札幌	569	6	648
2020	10	北海道	函館	50	2	53
2020	10	北海道	旭川	75	1	86
2020	10	北海道	釧路	51	2	59
2020	10	北海道	北見	19	0	24
2020	10	北海道	計	764	11	870
2020	10	東北	青森	228	4	279
2020	10	東北	岩手	151	8	171
2020	10	東北	宮城	473	2	579
2020	10	東北	秋田	130	3	149
2020	10	東北	山形	317	2	376
2020	10	東北	福島	285	7	329
2020	10	東北	計	1584	26	1883
2020	10	東京	計	2494	14	2786
2020	10	関東	茨城	561	7	697
2020	10	関東	栃木	372	5	425
2020	10	関東	群馬	883	2	1102
2020	10	関東	埼玉	1491	9	1785
2020	10	関東	千葉	1201	14	1433
2020	10	関東	神奈川	1971	10	2253
2020	10	関東	新潟	275	9	314
2020	10	関東	山梨	205	1	264
2020	10	関東	長野	420	4	514
2020	10	関東	静岡	1927	11	2412
2020	10	関東	計	9306	72	11199
2020	10	中部	富山	199	2	249
2020	10	中部	石川	195	2	227
2020	10	中部	福井	90	9	89
2020	10	中部	岐阜	312	3	381
2020	10	中部	愛知	2334	13	2786
2020	10	中部	三重	254	8	334
2020	10	中部	計	3384	37	4066
2020	10	近畿	滋賀	254	3	303
2020	10	近畿	京都	360	4	424
2020	10	近畿	大阪	2357	12	2777
2020	10	近畿	兵庫	1603	13	1891
2020	10	近畿	奈良	269	3	324
2020	10	近畿	和歌山	144	3	180
2020	10	近畿	計	4987	38	5899
2020	10	中国	鳥取	51	1	55
2020	10	中国	島根	70	2	73
2020	10	中国	岡山	439	2	523
2020	10	中国	広島	397	6	460
2020	10	中国	山口	254	6	301
2020	10	中国	計	1211	17	1412
2020	10	四国	徳島	234	0	289
2020	10	四国	香川	338	9	389
2020	10	四国	愛媛	207	6	230
2020	10	四国	高知	127	3	136
2020	10	四国	計	906	18	1044
2020	10	九州	福岡	1950	8	2473
2020	10	九州	佐賀	344	2	421
2020	10	九州	長崎	249	5	301
2020	10	九州	熊本	291	12	355
2020	10	九州	大分	211	6	254
2020	10	九州	宮崎	428	3	462
2020	10	九州	鹿児島	365	2	421
2020	10	九州	沖縄	251	2	287
2020	10	九州	計	4089	40	4974
2020	10	合計	計	28725	273	34133
2020	9	北海道	札幌	490	13	552
2020	9	北海道	函館	44	1	49
2020	9	北海道	旭川	57	4	67
2020	9	北海道	釧路	68	0	79
2020	9	北海道	北見	16	1	17
2020	9	北海道	計	675	19	764
2020	9	東北	青森	192	5	225
2020	9	東北	岩手	138	3	153
2020	9	東北	宮城	315	3	379
2020	9	東北	秋田	131	3	164
2020	9	東北	山形	271	2	328
2020	9	東北	福島	236	5	285
2020	9	東北	計	1283	21	1534
2020	9	東京	計	2135	8	2424
2020	9	関東	茨城	518	4	625
2020	9	関東	栃木	331	4	400
2020	9	関東	群馬	749	3	948
2020	9	関東	埼玉	1366	9	1615
2020	9	関東	千葉	1080	14	1310
2020	9	関東	神奈川	1791	13	2070
2020	9	関東	新潟	243	4	286
2020	9	関東	山梨	172	1	212
2020	9	関東	長野	381	6	456
2020	9	関東	静岡	1737	14	2207
2020	9	関東	計	8368	72	10129
2020	9	中部	富山	168	2	192
2020	9	中部	石川	152	2	179
2020	9	中部	福井	73	2	78
2020	9	中部	岐阜	240	1	295
2020	9	中部	愛知	2039	19	2427
2020	9	中部	三重	206	8	272
2020	9	中部	計	2878	34	3443
2020	9	近畿	滋賀	228	4	295
2020	9	近畿	京都	298	1	353
2020	9	近畿	大阪	2207	9	2583
2020	9	近畿	兵庫	1369	9	1575
2020	9	近畿	奈良	235	2	307
2020	9	近畿	和歌山	120	4	143
2020	9	近畿	計	4457	29	5256
2020	9	中国	鳥取	57	3	72
2020	9	中国	島根	68	1	79
2020	9	中国	岡山	372	10	410
2020	9	中国	広島	375	5	451
2020	9	中国	山口	219	4	270
2020	9	中国	計	1091	23	1282
2020	9	四国	徳島	148	2	184
2020	9	四国	香川	311	3	384
2020	9	四国	愛媛	195	6	222
2020	9	四国	高知	94	4	95
2020	9	四国	計	748	15	885
2020	9	九州	福岡	1771	7	2216
2020	9	九州	佐賀	320	0	413
2020	9	九州	長崎	241	4	321
2020	9	九州	熊本	212	2	271
2020	9	九州	大分	191	2	237
2020	9	九州	宮崎	373	1	413
2020	9	九州	鹿児島	315	3	369
2020	9	九州	沖縄	192	3	224
2020	9	九州	計	3615	22	4464
2020	9	合計	計	25250	243	30181
2020	8	北海道	札幌	461	12	540
2020	8	北海道	函館	37	0	45
2020	8	北海道	旭川	49	1	57
2020	8	北海道	釧路	51	3	58
2020	8	北海道	北見	19	0	21
2020	8	北海道	計	617	16	721
2020	8	東北	青森	206	3	243
2020	8	東北	岩手	132	2	173
2020	8	東北	宮城	327	1	399
2020	8	東北	秋田	104	1	127
2020	8	東北	山形	279	1	353
2020	8	東北	福島	264	2	312
2020	8	東北	計	1312	10	1607
2020	8	東京	計	2126	10	2400
2020	8	関東	茨城	454	6	584
2020	8	関東	栃木	339	5	397
2020	8	関東	群馬	721	3	924
2020	8	関東	埼玉	1339	8	1655
2020	8	関東	千葉	1050	12	1249
2020	8	関東	神奈川	1708	5	2040
2020	8	関東	新潟	257	8	307
2020	8	関東	山梨	170	2	210
2020	8	関東	長野	414	5	501
2020	8	関東	静岡	1680	5	2256
2020	8	関東	計	8132	59	10123
2020	8	中部	富山	146	1	165
2020	8	中部	石川	169	2	199
2020	8	中部	福井	74	1	87
2020	8	中部	岐阜	261	7	340
2020	8	中部	愛知	1823	11	2161
2020	8	中部	三重	232	5	297
2020	8	中部	計	2705	27	3249
2020	8	近畿	滋賀	283	5	354
2020	8	近畿	京都	332	4	386
2020	8	近畿	大阪	2050	8	2397
2020	8	近畿	兵庫	1454	2	1746
2020	8	近畿	奈良	218	4	266
2020	8	近畿	和歌山	113	1	126
2020	8	近畿	計	4450	24	5275
2020	8	中国	鳥取	49	2	65
2020	8	中国	島根	48	1	54
2020	8	中国	岡山	339	6	377
2020	8	中国	広島	328	2	395
2020	8	中国	山口	219	3	277
2020	8	中国	計	983	14	1168
2020	8	四国	徳島	164	2	192
2020	8	四国	香川	290	3	353
2020	8	四国	愛媛	184	2	195
2020	8	四国	高知	117	4	133
2020	8	四国	計	755	11	873
2020	8	九州	福岡	1741	8	2279
2020	8	九州	佐賀	270	3	352
2020	8	九州	長崎	226	0	286
2020	8	九州	熊本	246	1	322
2020	8	九州	大分	207	2	272
2020	8	九州	宮崎	392	3	435
2020	8	九州	鹿児島	344	6	399
2020	8	九州	沖縄	187	3	219
2020	8	九州	計	3613	26	4564
2020	8	合計	計	24693	197	29980
2020	7	北海道	札幌	465	11	521
2020	7	北海道	函館	39	1	42
2020	7	北海道	旭川	54	1	59
2020	7	北海道	釧路	53	2	57
2020	7	北海道	北見	9	0	10
2020	7	北海道	計	620	15	689
2020	7	東北	青森	172	1	214
2020	7	東北	岩手	121	0	144
2020	7	東北	宮城	330	2	397
2020	7	東北	秋田	116	2	132
2020	7	東北	山形	268	0	325
2020	7	東北	福島	260	5	293
2020	7	東北	計	1267	10	1505
2020	7	東京	計	2149	16	2423
2020	7	関東	茨城	480	5	594
2020	7	関東	栃木	328	4	378
2020	7	関東	群馬	703	8	874
2020	7	関東	埼玉	1308	5	1554
2020	7	関東	千葉	1006	9	1213
2020	7	関東	神奈川	1662	14	1920
2020	7	関東	新潟	219	2	245
2020	7	関東	山梨	165	2	203
2020	7	関東	長野	379	1	466
2020	7	関東	静岡	1775	7	2286
2020	7	関東	計	8025	57	9733
2020	7	中部	富山	159	2	188
2020	7	中部	石川	141	3	158
2020	7	中部	福井	63	5	68
2020	7	中部	岐阜	209	3	277
2020	7	中部	愛知	1994	8	2409
2020	7	中部	三重	244	2	290
2020	7	中部	計	2810	23	3390
2020	7	近畿	滋賀	217	7	286
2020	7	近畿	京都	298	1	351
2020	7	近畿	大阪	2122	6	2468
2020	7	近畿	兵庫	1445	7	1774
2020	7	近畿	奈良	215	1	261
2020	7	近畿	和歌山	111	0	139
2020	7	近畿	計	4408	22	5279
2020	7	中国	鳥取	50	1	56
2020	7	中国	島根	68	1	76
2020	7	中国	岡山	349	2	397
2020	7	中国	広島	388	7	481
2020	7	中国	山口	210	1	244
2020	7	中国	計	1065	12	1254
2020	7	四国	徳島	177	3	214
2020	7	四国	香川	310	6	375
2020	7	四国	愛媛	188	5	208
2020	7	四国	高知	97	2	114
2020	7	四国	計	772	16	911
2020	7	九州	福岡	1866	7	2364
2020	7	九州	佐賀	291	1	397
2020	7	九州	長崎	231	5	289
2020	7	九州	熊本	252	1	321
2020	7	九州	大分	208	1	246
2020	7	九州	宮崎	417	2	465
2020	7	九州	鹿児島	326	3	384
2020	7	九州	沖縄	244	0	276
2020	7	九州	計	3835	20	4742
2020	7	合計	計	24951	191	29926
2020	6	北海道	札幌	409	5	473
2020	6	北海道	函館	35	1	41
2020	6	北海道	旭川	59	1	68
2020	6	北海道	釧路	42	1	45
2020	6	北海道	北見	13	2	12
2020	6	北海道	計	558	10	639
2020	6	東北	青森	177	2	205
2020	6	東北	岩手	144	4	166
2020	6	東北	宮城	351	5	427
2020	6	東北	秋田	125	2	160
2020	6	東北	山形	242	1	293
2020	6	東北	福島	252	3	293
2020	6	東北	計	1291	17	1544
2020	6	東京	計	2004	8	2254
2020	6	関東	茨城	463	3	574
2020	6	関東	栃木	344	4	423
2020	6	関東	群馬	687	4	878
2020	6	関東	埼玉	1188	9	1424
